textDisplay,likeCount,authorDisplayName,authorChannelUrl,authorChannelId,publishedAt,updatedAt
thank you you&#39;re great!,0,@nima1665,http://www.youtube.com/@nima1665,UCEWurQarsbtQKiGQD-16uQA,2024-10-18T16:21:11Z,2024-10-18T16:21:11Z
THANK YOU!,0,@dibyangshukashyap,http://www.youtube.com/@dibyangshukashyap,UCdlR9U34HxRFgtx-ULXZwig,2024-10-18T13:40:40Z,2024-10-18T13:40:40Z
🎉🎉 thank you! Very clear instructions,0,@3xFranco,http://www.youtube.com/@3xFranco,UCSnrJbfXaYbaYBXWcl_tr3w,2024-10-12T22:17:29Z,2024-10-12T22:17:29Z
Excelente,0,@wxIyz,http://www.youtube.com/@wxIyz,UCPOhp6tGwu2uiaaP6xo5tog,2024-10-08T15:11:34Z,2024-10-08T15:11:34Z
you&#39;re the best thank you so much I never liked vs code but am good now after watching you,0,@ighodaro4307,http://www.youtube.com/@ighodaro4307,UCSsfPfxCyBbUe1iJkh4Lnpw,2024-09-30T00:15:28Z,2024-09-30T00:15:28Z
Thank you soso much really!!,0,@brii3506,http://www.youtube.com/@brii3506,UCwya5UqF9LrAJxezk3-NYmw,2024-09-28T02:50:51Z,2024-09-28T02:50:51Z
lovely,0,@GouravRout10,http://www.youtube.com/@GouravRout10,UC9JSM30Esx8nw9T7t5QuMSw,2024-09-25T15:39:33Z,2024-09-25T15:39:33Z
"<a href=""https://www.youtube.com/watch?v=GZbeL5AcTgw&amp;t=128"">2:08</a>",0,@prasunbagdi6112,http://www.youtube.com/@prasunbagdi6112,UCjbACzxbiiCwa2T_gnaWUDQ,2024-09-19T09:52:40Z,2024-09-19T09:52:40Z
very helpful,0,@KALYDO,http://www.youtube.com/@KALYDO,UCA8vMGCc-S4IPTFfy1BJ_cw,2024-09-13T08:51:33Z,2024-09-13T08:51:33Z
"What if we do not get that pop-up? I am not convinced I have launched a virtual environment. <br><br>Any advice for this code from Coursera?<br><br>if [ -d &quot;$HOME/.local/bin&quot; ] ; then<br>    PATH=&quot;$HOME/.local/bin:$PATH&quot;<br>fi<br><br>pipenv shell<br>pipenv install",1,@RoseHaft,http://www.youtube.com/@RoseHaft,UC2zRNQhA8av1P1cxc0XnXYw,2024-09-09T19:37:07Z,2024-09-09T19:37:07Z
"Thanks!! <br>Can you replace .venv with another environment name, or is this necessary for it to run properly?",0,@cpesk06,http://www.youtube.com/@cpesk06,UCXgmiWMzL0-vYnSBj1GkvIA,2024-08-30T21:56:44Z,2024-08-30T21:57:05Z
ty,0,@navjotsingh2457,http://www.youtube.com/@navjotsingh2457,UCOTZzMpbZfgHXUgfHZfiAKw,2024-08-20T01:10:34Z,2024-08-20T01:10:34Z
Are you italian by chance? cuz I saw &quot;cartella senza nome&quot; on your desktop,0,@davidegtheuseless,http://www.youtube.com/@davidegtheuseless,UCI4bbPJmx64pMuqrHynI4OA,2024-08-10T12:54:02Z,2024-08-10T12:54:02Z
Unfortunately I tried this in 2024 and pip is still not recognized in VS Code!,0,@malachiportillo,http://www.youtube.com/@malachiportillo,UC1tCsWDkcyS42mofkqMqmAw,2024-08-10T03:08:34Z,2024-08-10T03:08:34Z
"I keep getting error - python was not found,run without arguments what is mean by that?? Could you solve it??😢",0,@saipoojithanamani054,http://www.youtube.com/@saipoojithanamani054,UCBjE0R1Wl2K7AySuGxs8cuQ,2024-08-04T10:54:59Z,2024-08-04T10:54:59Z
Thank you so much this video was so practical for me❤❤❤❤,0,@mohammadhseinanvari5865,http://www.youtube.com/@mohammadhseinanvari5865,UCq_gxy3jJdsVkAQIF_1cVTg,2024-08-02T16:17:53Z,2024-08-02T16:17:53Z
Thanks lets say all this is done and program closed . What should be done when I want to reopen and go back to same env ?,0,@KumR,http://www.youtube.com/@KumR,UCu7xXIslJwttmp0nh6J5c6A,2024-08-02T12:11:38Z,2024-08-02T12:13:28Z
"I just keep getting an error when trying to run the virtual environment command- Python was not found; run without arguments to install from the Microsoft Store,",2,@reighndrop1,http://www.youtube.com/@reighndrop1,UC3Uauz7-iTMG_VvkdSidfhA,2024-07-30T09:18:32Z,2024-07-30T09:18:32Z
thanks brother,0,@tonyhacker932,http://www.youtube.com/@tonyhacker932,UCEB-4RpeGm8XfmYY-cZeoHg,2024-07-28T18:31:21Z,2024-07-28T18:31:21Z
Is there a reason why the virtual environment folder is hidden ? I see other instructions where it is not,0,@bassonette,http://www.youtube.com/@bassonette,UC1bTYouRKcVsR2qFK583qMA,2024-07-17T18:50:46Z,2024-07-17T18:50:46Z
My VS code lets me use pip outside of a venv and when I look online it seems to be normal for pip to work outside a venv. Is there a reason why it should not be working like in the video? Im using windows.,0,@seandobson2682,http://www.youtube.com/@seandobson2682,UC8CtGQ3jP2fNtX96OumaS9w,2024-07-04T13:12:26Z,2024-07-04T14:08:17Z
"As someone who is just starting out and really needs the things that are understood by everyone, I appreciate this video. Thanks.",1,@Jjsnsbsnshsnnsns,http://www.youtube.com/@Jjsnsbsnshsnnsns,UCI2WihOY64KlYkcPZBWF_WQ,2024-07-04T08:41:51Z,2024-07-04T08:41:51Z
