textDisplay,likeCount,authorDisplayName,authorChannelUrl,authorChannelId,publishedAt,updatedAt
"<a href=""https://www.youtube.com/watch?v=JT4GkZetYjI&amp;t=1950"">32:30</a> Morgan en este momento debe moverse el oso y agarrarlo a pingazos a Thorndike jajajja que terco ese cpp de CHIVO-LIN.Un tema para el prox video es hablar un poco del director de vaguito,se tiró la plata???? Eso hablenlo.",0,@KINGNBEAR,http://www.youtube.com/@KINGNBEAR,UCOya3mVaEUxZFYBCotFVjCQ,2024-10-20T17:24:36Z,2024-10-20T17:24:36Z
"Me llegan sus programas de tv, vine para rajar, ahora es mi placer culposo jajajaja",1,@gus3047,http://www.youtube.com/@gus3047,UCZ6pLMT4v6I_pVwPsaufzcw,2024-10-20T17:19:11Z,2024-10-20T17:19:11Z
Las fijas y reales!,0,@Grishenko1000,http://www.youtube.com/@Grishenko1000,UC3lQJNAurphgQPRzch8LdYQ,2024-10-20T17:16:48Z,2024-10-20T17:16:48Z
"😊 amo cada vídeo de este canal, ya hacía falta este 👏🏻",1,@liangmell,http://www.youtube.com/@liangmell,UCtkMDEcSUZw8o1-6RcwOiwg,2024-10-20T17:12:20Z,2024-10-20T17:12:20Z
"Ta mare ustedes son unos verdaderos HDLPTMADRE!!!<br>PERO SON LO MÁXIMO WEON!!<br>😂😂😂!!<br>Colorao, hoy Christian te sacó la mierda en la argumentación sobre la ley tan mensionada... Dejate de webadas pe colorao!!!<br>Un gran abrazo!!",1,@ruiterrivera2723,http://www.youtube.com/@ruiterrivera2723,UCH5IZNouQFIX3UII1Xcj0fQ,2024-10-20T17:06:04Z,2024-10-20T17:06:04Z
Cristhian  que  paso  con  tu  tio  Puerko?  Bien  suavecito  estuviste .  Doble  moral etc.  etc.,0,@pascualcabreraegocheaga265,http://www.youtube.com/@pascualcabreraegocheaga265,UCWZbe9_SFmdxUZBIGlMAbtg,2024-10-20T16:49:59Z,2024-10-20T16:49:59Z
"Oigan uds hablan mas lisuras   que los de Hablando huevadas. Modulen su vocabulario un poco. Sus temas son interesantes, pero tantas lisuras, embarran su objetividad.",0,@danielperu4,http://www.youtube.com/@danielperu4,UCKJal8bFxeB3rnTngCHm0eg,2024-10-20T16:29:14Z,2024-10-20T16:29:14Z
"Busca Libre es una excelente opción; sin embargo,  no encontré el libro &quot;The Tragedy of Great Power Politics&quot;, de John J. Mearsheimer",0,@rafaelniquen4306,http://www.youtube.com/@rafaelniquen4306,UC5vTdRiTVmRxBLvrwKogs9Q,2024-10-20T16:17:16Z,2024-10-20T16:17:16Z
"Saluda ,pues  Agusto!!!!",0,@YeniArce-cr9eo,http://www.youtube.com/@YeniArce-cr9eo,UCDcZ1dhU2qhL__DrvvXgsOg,2024-10-20T16:11:14Z,2024-10-20T16:11:14Z
"que Crack Christian, TOTALMENTE DE ACUERDO, la gran diferencia es la PRIORIDAD.",2,@josephmejia70,http://www.youtube.com/@josephmejia70,UCws7VA-ZQ5y1S_wx_Y993_g,2024-10-20T16:08:25Z,2024-10-20T16:08:25Z
Esto se debería llamar desahuevando habladas,2,@RickyMon,http://www.youtube.com/@RickyMon,UCh0Ji-0cIvttPq3SD884wzA,2024-10-20T16:01:47Z,2024-10-20T16:01:47Z
Hahahaha 😂 qué lo mueva a Cieneguilla jajajay...Hudwalker fan...super intelligent...porfa este programa educa abre el cerebro,3,@nn9762,http://www.youtube.com/@nn9762,UCp6qRu3fk1iqEA-vg4poRcA,2024-10-20T16:00:24Z,2024-10-20T16:00:24Z
"Pobre osito esta semana sin gorro, sin lentes, sin cinta en la cabeza, nada.",1,@CutipaLuis,http://www.youtube.com/@CutipaLuis,UCthfR9SrsNl6qTzi4QfsTtg,2024-10-20T16:00:24Z,2024-10-20T16:00:24Z
es necesario que digan groserías a cada rato ???.,1,@cesarcecilionavarretequiro2909,http://www.youtube.com/@cesarcecilionavarretequiro2909,UCbS7QRaqTjJzMaWgnmmCbIA,2024-10-20T15:54:22Z,2024-10-20T15:54:22Z
Me hacen el día viéndoles que buen canal caracho 😃,3,@phrankvelasquez,http://www.youtube.com/@phrankvelasquez,UC76Jfhb1JYvOJAiBDo4NxCQ,2024-10-20T15:51:54Z,2024-10-20T15:51:54Z
Vaya ! Por fin ! se les extranhaba ... 😉,2,@miryanwov,http://www.youtube.com/@miryanwov,UCNLHD0PWAycZ6bimVq-j-9g,2024-10-20T15:45:57Z,2024-10-20T15:46:32Z
"Saludos caballeros, ya necesitaba la versión rosada sobre el cagadón general que es la política peruana, bien dicho en este programa, este gobierno de marras se sigue hundiendo....<br>Acá un sanmarquino",2,@chayochevez6633,http://www.youtube.com/@chayochevez6633,UCVY4MXmNALTFSHv_JzfOupQ,2024-10-20T15:32:09Z,2024-10-20T15:32:09Z
¡Menos oferta más demanda!,0,@rafaelmontalvan1403,http://www.youtube.com/@rafaelmontalvan1403,UCJ5XD-j2Ejzy6VpkvCSsP7w,2024-10-20T15:24:55Z,2024-10-20T15:24:55Z
"Al fin regresaron, necesitaba mi dosis de brutalidad política.",4,@luisernestorodriguezsamane5901,http://www.youtube.com/@luisernestorodriguezsamane5901,UCcIv0WNpqcgW1DHTBmQmiMw,2024-10-20T15:24:04Z,2024-10-20T15:24:04Z
A falta de humor!!!😁,0,@juliocesarorihuelasancho4042,http://www.youtube.com/@juliocesarorihuelasancho4042,UCqmgyPEXiLTHR7Lt9PLjE6Q,2024-10-20T15:21:38Z,2024-10-20T15:21:38Z
"Ayer vi a CH compitiendo en dobles por el interclubes. Siempre primero el tenis 🎾, padel de yapa no más 😁",1,@edujgr1978,http://www.youtube.com/@edujgr1978,UCpXY-GoHM3DwHRCzgdVr81Q,2024-10-20T15:20:43Z,2024-10-20T15:20:43Z
"<a href=""http://www.youtube.com/results?search_query=%23colchado"">#colchado</a> debería ser dado de baja, tal vez junta tres puentes y los mete a una organización criminal",1,@noalsatrapa3944,http://www.youtube.com/@noalsatrapa3944,UCvocq5TtZQfeNTxkH1qYl2Q,2024-10-20T15:11:59Z,2024-10-20T15:11:59Z
TÍO CHRISTIAN EN COPITA TOMANDO NUESTRO BUEN Y RICO CAFÉ PERUANO ESPECIAL ORGÁNICO Y ECOLÓGICO SALUD SALUD ☕☕☕🇵🇪🇵🇪🇵🇪!!!,3,@joseluislozanoquiroz721,http://www.youtube.com/@joseluislozanoquiroz721,UCE-VjKLnpJthrFYzYcqI90A,2024-10-20T15:04:58Z,2024-10-20T15:04:58Z
"Lo máximo! Qué bueno que salieron otra vez.<br>Me encantan cuando uno dice una tontería y el otro le salta con todo!! 😂<br>Fuera de bromas, súper dinámico, divertido e informativo; con sus aderezos más.",6,@maricarmensalazar1377,http://www.youtube.com/@maricarmensalazar1377,UCPWix5AcP7WJV7rvO28qAEA,2024-10-20T15:02:50Z,2024-10-20T15:02:50Z
"BUEN DÍA TÍOS CHRISTIAN, AUGUSTO Y MORGAN GRANDES RAJONES PERUANOS DEMÓCRATAS, SE HICIERON EXTRAÑAR GRANDES CULEROS 💪💪💪🇵🇪🇵🇪🇵🇪",5,@joseluislozanoquiroz721,http://www.youtube.com/@joseluislozanoquiroz721,UCE-VjKLnpJthrFYzYcqI90A,2024-10-20T15:02:43Z,2024-10-20T15:02:43Z
"están mal informados y dejen de decir tanta lisura <a href=""http://www.youtube.com/results?search_query=%23rcsm"">#rcsm</a>",0,@noalsatrapa3944,http://www.youtube.com/@noalsatrapa3944,UCvocq5TtZQfeNTxkH1qYl2Q,2024-10-20T14:56:54Z,2024-10-20T14:56:54Z
Código: Aceite de Bebé 😂,1,@coco.barrantes,http://www.youtube.com/@coco.barrantes,UCUOd_upbf6_5DmLjU0TfUAA,2024-10-20T14:50:56Z,2024-10-20T14:50:56Z
YouTube debería dejar de ser tan santurrón. Silenciar ciertas palabras dichas por este simpático par de desquiciados 😅no se justifica.,1,@manuelandrescaminopajares9751,http://www.youtube.com/@manuelandrescaminopajares9751,UCfaCgN8p5Ajw6z0ykzrybxg,2024-10-20T14:47:39Z,2024-10-20T14:47:39Z
Morgan es ahí el más centrado !,5,@wayonet999,http://www.youtube.com/@wayonet999,UCikP8AipTbsSTdzHasA8cUw,2024-10-20T14:36:51Z,2024-10-20T14:36:51Z
"Ya iba a dejar de pagar mis 5 soles para comprar aceite de bebe y enviárselo a Chibolin...Christian, medalla como chico migraña...Augusto sube foto de tu diploma jefe, salu2",0,@alejandrovalcarcel9939,http://www.youtube.com/@alejandrovalcarcel9939,UCSpYdOE4Z5NEuQGBJ2Kgo9A,2024-10-20T14:36:45Z,2024-10-20T14:36:45Z
"Porque no llaman a un abogado y les expliqué... Porque aquí parece que Christian tiene razón, pero no está claro",0,@mapigonro2,http://www.youtube.com/@mapigonro2,UCWfj95d5BORe8RKQsQJSnZA,2024-10-20T14:34:19Z,2024-10-20T14:34:19Z
"Porqué hablan tanta lisuras, creen q eso es cool ???",2,@wayonet999,http://www.youtube.com/@wayonet999,UCikP8AipTbsSTdzHasA8cUw,2024-10-20T14:22:47Z,2024-10-20T14:22:47Z
Hasta que por fin,2,@fernando5166,http://www.youtube.com/@fernando5166,UCxTWlrytdnhjVlDJDZm4UeQ,2024-10-20T14:21:16Z,2024-10-20T14:21:16Z
"Que bueno que volvieron! El logo de Dollar House salió 07 veces. De acuerdo en lo nefasta que es la ley que &quot;apoya&quot; a los extorsionadores. No quiero ver a mi país hundirse por un Poder Ejecutivo y Legislativo unidos y enfocados en conseguir sus propios intereses. Gracias por sus comentarios, me ilustran.",1,@yvonneoleaterry7112,http://www.youtube.com/@yvonneoleaterry7112,UCRZqwgQ1XSofDVEqFuI-tfQ,2024-10-20T14:12:09Z,2024-10-20T14:12:09Z
"Por fin; de pronto merecido descanso, bueno a continuar y bienvenido retorno, saludos !!!",2,@aldorengifo,http://www.youtube.com/@aldorengifo,UCYVHsJV8Gu4pcjkGjk99dlg,2024-10-20T13:34:45Z,2024-10-20T13:34:45Z
"Nada mejor que ir manejando y escucharlos a la vez, un cague de risa y te vas informando a la vez 😂👍🏼",1,@claudiolivia9988,http://www.youtube.com/@claudiolivia9988,UCIuu_EvrnsQx8qimUrlf6yg,2024-10-20T13:17:55Z,2024-10-20T13:17:55Z
Chibolin el Diddy lorcho,0,@carmensanchez1528,http://www.youtube.com/@carmensanchez1528,UCO8Il2QTSILUhtSaTPT76aQ,2024-10-20T13:01:08Z,2024-10-20T13:01:19Z
"Que divertido es su programa me encanta!! Diego Elias ha ganado por segunda vez el primer puesto en Qatar y su papá se llama Jose Manuel, ❤",0,@ksr0508,http://www.youtube.com/@ksr0508,UCJzOMK5CSqdu0Hvqx_hNl1A,2024-10-20T12:58:41Z,2024-10-20T12:58:41Z
"Buen programa, peleense mas asi",0,@renzolucianolopeztorres7198,http://www.youtube.com/@renzolucianolopeztorres7198,UCKl28xC-v5q61MR5IGcOcTg,2024-10-20T12:58:26Z,2024-10-20T12:58:26Z
