textDisplay,likeCount,authorDisplayName,authorChannelUrl,authorChannelId,publishedAt,updatedAt
"Ese CSM payaso a quien quiere engañar, si Perú es pobre antes y después del COVID , el banco central de reserva debe cerrar así como hace el presidente milei",0,@felipe-wd4xr,http://www.youtube.com/@felipe-wd4xr,UCVtWfIH12IXqFB1Z91tLAlA,2024-10-11T07:02:26Z,2024-10-11T07:02:26Z
Dr. Velarde alias Rey Midas Peruano.,1,@ChristianMendozza,http://www.youtube.com/@ChristianMendozza,UC37QdJB7FHBeB3bjnHQ7Naw,2024-10-11T06:42:18Z,2024-10-11T06:42:18Z
Complimenti per il lavoro del BCR dell&#39; Perù.,0,@DannyCondori-g5r,http://www.youtube.com/@DannyCondori-g5r,UCI4mMrPNfTuIa9LmjIvBGoA,2024-10-11T05:40:49Z,2024-10-11T05:40:49Z
"<a href=""https://www.youtube.com/watch?v=N5Zm9TTxOEs&amp;t=102"">1:42</a> hasta haciendo bolita un moco da cátedra ... se pasea Velarde !!!",0,@savatt,http://www.youtube.com/@savatt,UCH5bYCNbKMYmw_xLMT94oEg,2024-10-11T05:17:04Z,2024-10-11T05:17:54Z
Ídolo ❤,0,@corinagarcilazo,http://www.youtube.com/@corinagarcilazo,UCZQ4UOxhHqDEXcgrSJX3qhA,2024-10-11T05:14:52Z,2024-10-11T05:14:52Z
"cuando eres dueño de los medios de comunicación me refiero a redes, tv y radio puedes inventar cualquier huevada y encima servidor de los gringos. Y una mafia militar y de canales de tv enquistada con poder puedes inventar cualquier huevada",0,@FrankDiaz-z8y,http://www.youtube.com/@FrankDiaz-z8y,UCXOCE93PrjjqDYGQsb0W4Jw,2024-10-11T04:37:47Z,2024-10-11T04:37:47Z
"cuando tiene el poder de la tv, redes y radio puedes inventar cualquier huevada y encima eres un servidor de los gringos dueños de casi todos los canales de tv puedes inventar cualquier huevada",0,@FrankDiaz-z8y,http://www.youtube.com/@FrankDiaz-z8y,UCXOCE93PrjjqDYGQsb0W4Jw,2024-10-11T04:25:17Z,2024-10-11T04:25:17Z
Dina boluarte busca cambiar a velarde a como de lugar,0,@victor5591,http://www.youtube.com/@victor5591,UCzqEp52WsTxoCe15orDoqNw,2024-10-11T04:19:16Z,2024-10-11T04:19:16Z
"Cuiden el oro peruano. BERMEJO,sigrid dina boluarte quieren saborear esos ricos tesoros peruanos",0,@victor5591,http://www.youtube.com/@victor5591,UCzqEp52WsTxoCe15orDoqNw,2024-10-11T04:18:51Z,2024-10-11T04:18:51Z
200 al LORD,1,@victor5591,http://www.youtube.com/@victor5591,UCzqEp52WsTxoCe15orDoqNw,2024-10-11T04:18:14Z,2024-10-11T04:18:14Z
200 al LORD,0,@victor5591,http://www.youtube.com/@victor5591,UCzqEp52WsTxoCe15orDoqNw,2024-10-11T04:18:08Z,2024-10-11T04:18:08Z
"y pensar que hay mucho chuñoso izquierdoso que quieren cambiarlo, seguramente para meter algun amiguito suyo...",1,@brayanvaldezlinares9230,http://www.youtube.com/@brayanvaldezlinares9230,UCgZ9px9T4ugt7f8xjNLrFeg,2024-10-11T04:18:01Z,2024-10-11T04:18:01Z
EL SOCIALISMO TRATA DE SACAR AL MEN AL UNICO EJECUTIVO DECENTE,0,@victor5591,http://www.youtube.com/@victor5591,UCzqEp52WsTxoCe15orDoqNw,2024-10-11T04:17:58Z,2024-10-11T04:17:58Z
Lord Velarde,0,@victor5591,http://www.youtube.com/@victor5591,UCzqEp52WsTxoCe15orDoqNw,2024-10-11T04:17:35Z,2024-10-11T04:17:35Z
"Buen trabajo señor Velarde ,no como en otros países de la región.",0,@JorgeGuzmán-f6w,http://www.youtube.com/@JorgeGuzm%C3%A1n-f6w,UCZ3nkU2XATWZHD0tsmU2Emw,2024-10-11T04:17:23Z,2024-10-11T04:17:23Z
Mi viejo,1,@gastritus,http://www.youtube.com/@gastritus,UC3HWdjq8rA_Rli1Kogg510g,2024-10-11T03:59:21Z,2024-10-11T03:59:21Z
Que diferencia de preguntas con los congresistas,0,@geanmarcotorrestorres5866,http://www.youtube.com/@geanmarcotorrestorres5866,UCR5lfJDXGaZYlEhhHazJDQQ,2024-10-11T03:54:09Z,2024-10-11T03:54:09Z
Sagasti 🧐,0,@Dimitrioedison44,http://www.youtube.com/@Dimitrioedison44,UCxxr5QWkDz-a9PPpaB_fFfQ,2024-10-11T03:11:05Z,2024-10-11T03:11:05Z
Bien,0,@alexvillanueva4128,http://www.youtube.com/@alexvillanueva4128,UCxBFcj8YzcEwDJPpJnybYsw,2024-10-11T03:03:18Z,2024-10-11T03:03:18Z
Este virjo meketrefe solo rrsguarda a los intereses de eeuu y la reserva federal américa <br>Habla si no hay una oficina de cia dentro de bcr,0,@mrjl2012,http://www.youtube.com/@mrjl2012,UC66C_H0Qa1rYouCdnlIYM1Q,2024-10-11T02:34:54Z,2024-10-11T02:34:54Z
"Julio Velarde un gran personaje mundial, pero lamentablemente el Congreso Peruano está lleno de ignorantes marxistas que tratan de sacarlo para llevar al Peru a ser la porqueria que es Cuba o Venezuela.",2,@John-dw8sj,http://www.youtube.com/@John-dw8sj,UCqOAMzUfuDRjVCCU73mjc_w,2024-10-11T02:33:04Z,2024-10-11T02:33:04Z
GRACIAS A FUJIMORI Y A LA CONSTITUCIÓN DEL 93 GORDO FANFARRÓN,2,@carlostorres-dm8zf,http://www.youtube.com/@carlostorres-dm8zf,UCXrdYWVITEaaZbwBJcr1wbg,2024-10-11T01:48:37Z,2024-10-11T01:48:37Z
Un verdadero representante de Perú,0,@danielrojas8059,http://www.youtube.com/@danielrojas8059,UCVpioPMU8vm_B6kRLRH08Bg,2024-10-11T01:34:32Z,2024-10-11T01:34:32Z
"No es CNN es español, es un canal argentino porque mienten!",0,@carloscordova428,http://www.youtube.com/@carloscordova428,UCBgK_a1SHBwGPqUsOfsruzw,2024-10-11T01:17:44Z,2024-10-11T01:17:44Z
Mi Lord VelardeGOD,0,@leocubamiranda1982,http://www.youtube.com/@leocubamiranda1982,UCR5UdRIDwbsCyJtYZHLYfng,2024-10-11T01:07:28Z,2024-10-11T01:07:28Z
🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣,0,@kuntreras4341,http://www.youtube.com/@kuntreras4341,UCsHL5ogG0jOed3mm1MHRKbw,2024-10-11T00:50:52Z,2024-10-11T00:50:52Z
"Perú controla su inflación pero sigue teniendo los.mismos pobres , una gran precariedad en salud y educación con sueldos bajisimos  de los más bajos de la región con índices muy altos en delincuencia una corrupción que llega a todas las esferas del poder , el país está gobernado por bandas de delincuentes que son dueños de partidos de políticos,  que utilizan la democracia para hacer dinero y los grandes empresarios financian estos partidos porque no les gusta que les cambien sus leyes qué los hace poderosos a ellos no les interesa quien gobierna si al final son ellos los que ponen leyes a su antojo. <br>Del Perú migran cerca de 300 mil Peruanos al año que persona se va de un país si supuestamente viven bien , nada señores pero no es ejemplo de nada .",0,@alexanderalvarado8432,http://www.youtube.com/@alexanderalvarado8432,UCLE-bUdkp9FfFkut4wN-FCw,2024-10-11T00:39:52Z,2024-10-11T00:40:53Z
"Si tan solo tuviéramos un buen presidente, Perú sería otra cosita...",1,@cirazunymusic,http://www.youtube.com/@cirazunymusic,UCvbFYCpHx_kGv_Jgnpys_aQ,2024-10-11T00:37:36Z,2024-10-11T00:37:36Z
"Hablo el banguero de los fujis, Toledo, García, Humala, PPK...",0,@toga771,http://www.youtube.com/@toga771,UCoConBIXGxv3HGJSKjjA3oA,2024-10-10T23:44:26Z,2024-10-10T23:44:48Z
"Para el Mundo: el mejor Economista de la Región, y para los semi analfabetos socialistas del Perú: el peor economista. A quien creemos",1,@alexanderberrosspi64,http://www.youtube.com/@alexanderberrosspi64,UCbD-rdq8FA-E6PXz7JrOJlQ,2024-10-10T23:36:58Z,2024-10-10T23:36:58Z
LO AMO SEÑOR VELARDE,0,@Anthony-gy4pu,http://www.youtube.com/@Anthony-gy4pu,UCCWCy5WUtPXIocKYRnecPaA,2024-10-10T23:35:45Z,2024-10-10T23:35:45Z
Julio Velarde es como la flor de loto lo unico bueno dentro de tanto lodo que tiran para abajo al Peis...Larga Vida srJulio velarde Dios lo bendiga💜💜💜,0,@joselinedamian9071,http://www.youtube.com/@joselinedamian9071,UCKSR_PGfBFtV2qUqgw4tmYQ,2024-10-10T23:14:45Z,2024-10-10T23:14:45Z
"Lord Velarde, salud para usted.",0,@anthonyrticona.2612,http://www.youtube.com/@anthonyrticona.2612,UCQQkNKpc1leXHwnB_-bUOkg,2024-10-10T22:51:23Z,2024-10-10T22:51:23Z
Toda una autoridad a carta cabal con amplio conocimiento en la estabilidad económica nacional.,0,@carlosalbertogarciamelende4446,http://www.youtube.com/@carlosalbertogarciamelende4446,UCbY0Dx3hesqet7rCBtBXt9g,2024-10-10T22:36:43Z,2024-10-10T22:36:43Z
Gracias al ex Presidente del Perú Alberto Fujimori (Q.E.P.D.) quien independizó al BCRP y obviamente a su Presidente el gran Julio Velarde (hay que clonarlo) por semejante record.,1,@maxvoltar6242,http://www.youtube.com/@maxvoltar6242,UCKhiEcfJYYJwFGDTHfCASVA,2024-10-10T22:11:54Z,2024-10-10T22:11:54Z
Gracias por todo Lord Velarde 🤙,0,@yossiskzstay6868,http://www.youtube.com/@yossiskzstay6868,UC1wCpeRgKIdJ0s5plwTLONA,2024-10-10T22:07:06Z,2024-10-10T22:07:06Z
"Aun asi no deberia de existir banco central, es admirable lo que Velarde hace por el Perú que facilmente podria ser considerado el verdadero presidente despues de muchos inadaptados junto a todos los congresistas que han estado en el poder",0,@axyhpro,http://www.youtube.com/@axyhpro,UCuPzszuKIzwcUpbuH4XcwUA,2024-10-10T21:42:14Z,2024-10-10T21:42:14Z
Gana muy poco. Debería ganar 1 millón de dólares. Bendiciones para él ❤,0,@jesusgarysilesmatos4976,http://www.youtube.com/@jesusgarysilesmatos4976,UCYtWpct_e7985LJRmiIs0RA,2024-10-10T21:26:39Z,2024-10-10T21:26:39Z
"Eso mi gordito, solo espero que dejes a buenos capos como L dejo a sus discípulos",0,@MUERTOkOf6,http://www.youtube.com/@MUERTOkOf6,UCRRdX5H9OuB9U2SaAy-DZAA,2024-10-10T21:09:12Z,2024-10-10T21:09:12Z
Imagínense si tuviéramos un Ministro de Economía y de Trabajo al mismo nivel que este señor!!,0,@Jonas77,http://www.youtube.com/@Jonas77,UCdqiO3PJ7Fs-jffagF-UD3w,2024-10-10T20:37:47Z,2024-10-10T20:37:47Z
El gran Julio Velarde... hombre prudente y por demás extraordinariamente inteligente. Más de 20 años en su cargo y cada vez lo hace mejor.,0,@australeyne8864,http://www.youtube.com/@australeyne8864,UCSZiIE_ghz1pvFw_2LK40RQ,2024-10-10T20:04:26Z,2024-10-10T20:04:26Z
"Cuando palpo la moneda peruana, siento peso y confianza :)",0,@rolanyt6388,http://www.youtube.com/@rolanyt6388,UCPtY14ZQbwbT71TcRc-dnTg,2024-10-10T20:01:55Z,2024-10-10T20:01:55Z
Long life to the king Julio Velarde,0,@rolanyt6388,http://www.youtube.com/@rolanyt6388,UCPtY14ZQbwbT71TcRc-dnTg,2024-10-10T20:00:31Z,2024-10-10T20:00:31Z
"Velarde es realmente un pésimo banquero; pero para la mayoría de peruanos que no son versados en Economía ni tampoco tienen una verdadera educación financiera, Velarde es lo máximo.<br>A cada evento internacional en el que Velarde es invitado, este señor demuestra que no sabe ni dónde está parado y deja en ridículo al país. <br>Para que se den una idea, Velarde en cada exposición siempre hace lo que hizo el Gerente General de Sporting Cristal en Chile.<br>Aún recuerdo cuando Velarde, en un evento en Bruselas en 2023, no pudo explicar qué es el IPP (la inflación desde el punto de vista del productor) e insistía en &quot;corregir&quot; al moderador diciéndole que no es IPP, sino IPC (la inflación desde el punto de vista del consumidor; la inflación de toda la vida).<br>Vergüenza ajena que un banquero no sepa conceptos básicos.<br>Powell y Lagarde le dan mil vueltas a Velarde. Y eso que la francesa tampoco es una iluminada.",2,@RealTrader93,http://www.youtube.com/@RealTrader93,UCEryo8u6NKamRTGckZrT4VA,2024-10-10T19:55:10Z,2024-10-10T19:58:15Z
