textDisplay,likeCount,authorDisplayName,authorChannelUrl,authorChannelId,publishedAt,updatedAt
"Genial, muy buena explicación... 👍",0,@VogelCoage,http://www.youtube.com/@VogelCoage,UCxKal_OH14rSiD0eW0BdAuQ,2024-10-01T00:34:23Z,2024-10-01T00:34:23Z
BueníiiiisimooOo 💯💯,0,@zepedacanojessicadelcarmen4514,http://www.youtube.com/@zepedacanojessicadelcarmen4514,UCqsFvJU8MtJROK14xIEZwBg,2024-09-20T01:03:55Z,2024-09-20T01:03:55Z
"Amigo osea si quiero instalar por ejemplo numpy, flask, panda, creo un entorno ? O si voy a crear un proyecto que necesitara alguna de esas creo el entorno junto al proyecto y luego en un futuro si necesito el mismo módulo repito el proceso de instalación?",1,@juanperdomo7672,http://www.youtube.com/@juanperdomo7672,UC19quQOv6Gs7cdpDM04F2MA,2024-08-12T15:54:17Z,2024-08-12T15:54:17Z
"y si tengo varias versiones de python, como hago para compartir el mismo entorno virtual? o en su defecto, crear un entorno virtual similar para la nueva version que instalé",0,@M.Lozano,http://www.youtube.com/@M.Lozano,UCAjF4G31dKk21l6GdMtbu7Q,2024-06-23T19:28:12Z,2024-06-23T19:28:12Z
Intente activar el entorno y me dice que no encuentra la ruta,0,@joseelpro5491,http://www.youtube.com/@joseelpro5491,UCLXed5gr8YfeSQn_ZQyG7Cw,2024-04-01T01:54:02Z,2024-04-01T01:54:02Z
"Hola alguien me podria ayudar como eliminar mi entorno de python 3.12 para que pueda ser usado en python 3.8, es que al momento configuere el que no debia..",0,@Dagneska1,http://www.youtube.com/@Dagneska1,UCIvdsWpEEVAtjzIh1DCrPyA,2024-02-21T17:50:09Z,2024-02-21T17:50:09Z
"Genial, ya había olvidado los comandos",0,@elweonweandolaweafome,http://www.youtube.com/@elweonweandolaweafome,UCwA89vLmKaQxNmMF1_LuqDw,2024-02-07T06:03:12Z,2024-02-07T06:03:12Z
"Buenas noches, quizá me podrían por favor ayudar a valdiar el motivo por el cual al ejecutar el comando &quot;pip freeze &gt; archivo.txt&quot;, el archivo es creado pero queda vacío. Gracias y quedo atento",0,@andresrugeles6068,http://www.youtube.com/@andresrugeles6068,UCV5ZZZgxFc48lfQDD6iFkcA,2023-11-26T04:14:10Z,2023-11-26T04:14:10Z
Se podría automatizar la instalación en un entorno virtual de Python en un PKGBUILD para AUR de Archlinux? Cómo sería?,0,@dakataca,http://www.youtube.com/@dakataca,UCgiqFQaY74mKtL0QTcPmM4w,2023-11-18T17:35:13Z,2023-11-18T17:35:13Z
"ok pero tengo una duda, si quiero tener varias versiones del python como seria? o sea instalo la version del python solo que no la agrego a mi path de variables de entorno de mi sistema o bien me toca descargarla directamente a la carpeta del proyecto sobre el cual voy a trabajar? Todo esto lo pregunto bajo el SO Windows",0,@guillermocruzvega1716,http://www.youtube.com/@guillermocruzvega1716,UCp8TMUINjO6i4Mi1Zuuwt5g,2023-11-03T17:13:05Z,2023-11-03T17:13:05Z
Estaria bien un video de pipx y también de poetry.,1,@Alarez7,http://www.youtube.com/@Alarez7,UCw1vqjFQ2wT5DHiDh_hdaaA,2023-11-03T16:24:59Z,2023-11-03T16:24:59Z
por favor. Actualicen los cursos en la plataforma que es genial. Hay algunos que tienen muchos años. Gracias de antemano. Saludos,5,@sakuragiTen,http://www.youtube.com/@sakuragiTen,UCWpxPuxTIQn7EJ3kg789oow,2023-11-03T06:59:49Z,2023-11-03T06:59:49Z
"QUIERO COMPRAR UN CURSO pero Tengo una pregunta codigofacilito y es si el curso completo de python backend django es de hace dos o 3 años y si es así desde ese lapso hasta hoy, hay cambios significativos?  No tengo que preocuparme por ello?",2,@nexoquetejodan5063,http://www.youtube.com/@nexoquetejodan5063,UCnQg524IHAXqpDfRSo0hNNQ,2023-11-03T04:43:41Z,2023-11-03T04:43:41Z
Buena explicación,0,@eddiekaka1452,http://www.youtube.com/@eddiekaka1452,UCdoJoE93AcDkneJLGhv0oRQ,2023-11-03T03:42:52Z,2023-11-03T03:42:52Z
exixte algo similar para node js ?,0,@ElectronicaClavijo,http://www.youtube.com/@ElectronicaClavijo,UCdNtZ_jyKBAoneJL1qr2UIg,2023-11-03T02:42:06Z,2023-11-03T02:42:06Z
"Poetry + Docker + Precommit, lo mejor de lo mejor",2,@cerm88,http://www.youtube.com/@cerm88,UCFhf5b6qUm_Ztsaa4ZPxR5Q,2023-11-03T00:25:34Z,2023-11-03T00:25:34Z
Pipx,0,@gonfreecss9740,http://www.youtube.com/@gonfreecss9740,UCI_BD3q7uxI-qmOMUBUqBNQ,2023-11-02T22:37:30Z,2023-11-02T22:37:30Z
¿Alguien puede decirme que extensiones usar en Visual Studio Code?,0,@SantiagoNahuelSalva,http://www.youtube.com/@SantiagoNahuelSalva,UClFyeRq1SPz-H_K9uVYuOwQ,2023-11-02T22:04:09Z,2023-11-02T22:04:09Z
