authorDisplayName,authorChannelUrl,authorChannelId,channelId,videoId,textDisplay,parentId,canRate,likeCount,publishedAt,updatedAt
@BreakPointMP,http://www.youtube.com/@BreakPointMP,UC_49ElhhVd1BO7MsdBPm77Q,{'value': 'UC_49ElhhVd1BO7MsdBPm77Q'},RPcwUunWqhs,ME GUSTA AL VIDEO SI APOYAS A MILEI!!!,Ugz_6Yh3NErktiJaMv14AaABAg,True,159,2024-10-11T00:41:08Z,2024-10-11T00:41:08Z
@germannebredaperez8842,http://www.youtube.com/@germannebredaperez8842,UC9YfldAA1QL9vBdlaLfSkCw,{'value': 'UC9YfldAA1QL9vBdlaLfSkCw'},RPcwUunWqhs,Esta te utiliza para su interés pero no es de fiar,UgzQUHsotndGug6n6m54AaABAg,True,0,2024-10-11T06:19:54Z,2024-10-11T06:19:54Z
@Renatazalasar,http://www.youtube.com/@Renatazalasar,UCu11CB2zDf3rn-WntwoVxMw,{'value': 'UCu11CB2zDf3rn-WntwoVxMw'},RPcwUunWqhs,GENIOOOO MARIANOO❤❤❤❤🦁🦁🦁💪💪💪💪❤❤❤❤❤🦁🦁🦁🦁🦁🦁🦁❤❤❤❤❤❤❤❤❤❤❤❤,Ugwzv1VLQ-K6eJgFXeN4AaABAg,True,1,2024-10-11T06:14:18Z,2024-10-11T06:14:18Z
@chanta95,http://www.youtube.com/@chanta95,UCevndii1Yhfyoew8ogxnYzA,{'value': 'UCevndii1Yhfyoew8ogxnYzA'},RPcwUunWqhs,Marianito la pañuelo verde te trato re bien la re bardeaste con el titulo 😂,UgwhKwyC6Asx4vSM3It4AaABAg,True,0,2024-10-11T06:10:21Z,2024-10-11T06:10:21Z
@heisenberg7394,http://www.youtube.com/@heisenberg7394,UCVDcpUkSXBzQMc3wJR1-w0A,{'value': 'UCVDcpUkSXBzQMc3wJR1-w0A'},RPcwUunWqhs,Like solo por el titulo que metiste jsjsjsj 😄,UgwqFqGM3k8D7b_bpPx4AaABAg,True,0,2024-10-11T06:08:21Z,2024-10-11T06:08:21Z
@germannebredaperez8842,http://www.youtube.com/@germannebredaperez8842,UC9YfldAA1QL9vBdlaLfSkCw,{'value': 'UC9YfldAA1QL9vBdlaLfSkCw'},RPcwUunWqhs,"Le percibo muy, muy falsa a esta chica",UgzQYyD_fgPnTBsRKB54AaABAg,True,0,2024-10-11T06:07:33Z,2024-10-11T06:07:33Z
@VictorNicolao,http://www.youtube.com/@VictorNicolao,UCVOMcjId7aiqnspfU6bRB_Q,{'value': 'UCVOMcjId7aiqnspfU6bRB_Q'},RPcwUunWqhs,meterse con su vida privada sería hablar sobre su intimidad. Inventar que se acostaba con la hermana es algo totalmente distinto. Nunca visto,Ugz4mdQsw4fRDxFGSRR4AaABAg,True,0,2024-10-11T06:02:13Z,2024-10-11T06:02:13Z
@sandrabarboza7438,http://www.youtube.com/@sandrabarboza7438,UCjbeGG3o61RWUwk1RUTe-zQ,{'value': 'UCjbeGG3o61RWUwk1RUTe-zQ'},RPcwUunWqhs,"¿¿¡ Te parece bien las puteadas del Presidente??? <br>Uds chicos libertarios tampoco se hacen cargo de que no son &quot; blancas palomas de la paz&quot; . Y ¡ ojo! Yo lo voté en el ballotage; sigo a Milei desde que tenía su programa en Youtube,concordaba y concuerdo en mucho de lo que dice y hace,pero jamás,jamás acepté su estilo discursivo violento, sus ataques de ira que mostraba al comunicar.El hecho de que te agredan con injurias,con mentiras, con ataques a su vida personal, no quiere decir que ¡¡¡ deba responder de la misma manera!!!!!  ¿ Acaso no se puede ser frontal, sincero sin agresiones verbales????<br>Está muy bien desmantelar mentiras,datos falsos, con sólidos argumentos como lo hace Javier. Pero...se subieron al pony, son soberbios. Nos miran y nos mean desde arriba. <br>Cualquier persona que no piensa como uds. ,que no ve las cosas como uds. inmediatamente el presidente y los que lo siguen, tratan a esas personas de &quot; zurdos de m.....&quot; &quot; tarados, burros,vagos, planeros,etc.etc&quot;.<br><br>Destrozan al periodismo tradicional. Y se olvidan de que muchos de ellos, con errores y desaciertos, lucharon a su manera, por la libertad de expresión en épocas difíciles para la democracia, y también están los que fueron pioneros en el periodismo de investigación que contribuyeron a descubrir hechos de corrupción política-económica.<br><br>Es muy valioso lo que Break Point hace como otros youtubers; pero, bajen la soberbia,por favor. No se la crean. <br>No se enojen,por favor🙏",UgwJHwtGmxAuEfl0vl94AaABAg,True,0,2024-10-11T06:02:01Z,2024-10-11T06:02:01Z
@aroalien,http://www.youtube.com/@aroalien,UCRYUoaoM8PG00X9QDsnIJ2A,{'value': 'UCRYUoaoM8PG00X9QDsnIJ2A'},RPcwUunWqhs,"Che la imagen de tapa la ensucias por demas, si el reportaje fue lo mas amable",UgwUHfpr-9kRlXxUVXF4AaABAg,True,0,2024-10-11T05:58:46Z,2024-10-11T05:58:46Z
@frangiraudo6224,http://www.youtube.com/@frangiraudo6224,UCSUaTRtILl-1i1nmHb0TjLg,{'value': 'UCSUaTRtILl-1i1nmHb0TjLg'},RPcwUunWqhs,Ellos violentan cuando titulan sus notas despectivamente. Esto claramente genera opinión y es otro tipo de violencia también. Después van y se sientan como niños...😊,UgyyhfkrvhHWzg7NNy14AaABAg,True,0,2024-10-11T05:58:41Z,2024-10-11T05:58:41Z
@ixxo3038,http://www.youtube.com/@ixxo3038,UCsROvIB60P830Gu1JyTOSTg,{'value': 'UCsROvIB60P830Gu1JyTOSTg'},RPcwUunWqhs,"Esta mina es 1/2 pPelotuda, ojala lea este comentario y se ponga a llorar como una pPelotuda! 😊😊",UgzudiLijn8_qe2Iv0x4AaABAg,True,1,2024-10-11T05:55:43Z,2024-10-11T05:55:43Z
@noemiroldan8307,http://www.youtube.com/@noemiroldan8307,UCRioZnGqZaJ8p7Z0oUImvEg,{'value': 'UCRioZnGqZaJ8p7Z0oUImvEg'},RPcwUunWqhs,Bravo Mariano!!!,UgwA75jBIsD111Gn4IB4AaABAg,True,2,2024-10-11T05:52:15Z,2024-10-11T05:52:15Z
@pialarrea,http://www.youtube.com/@pialarrea,UC8NbUClyBFeeSM2pV7_t-tQ,{'value': 'UC8NbUClyBFeeSM2pV7_t-tQ'},RPcwUunWqhs,"ME DA LASTIMA COMO TE USAN MARIANO, LA ALEGRIA QUE ME DA DE QUE NO PUEDAN SALIR NI A LA ESQUINA, CUIDATE HERMANO PORQUE POSIBLEMENTE TE TERMINEN REVENTANDO. CONSECUENCIAS DE HACERSE TANTO EL VIVO VIRTUALEMENTE Y SER TERRIBLE GILAZO EN LA REALIDAD, BANCATELA COMO CUNEO PEDAZO DE VIRGO!",UgxMeeWQsDNBn2jJYnJ4AaABAg,True,0,2024-10-11T05:45:30Z,2024-10-11T05:45:30Z
@federicoariel3536,http://www.youtube.com/@federicoariel3536,UCI81k8W1PNXZIln8xhzt4gw,{'value': 'UCI81k8W1PNXZIln8xhzt4gw'},RPcwUunWqhs,"es verdad, no durmió con la elecciones en Venezuela, yo las ví 95% por este canal, hizo una gran cobertura. Este video 33.315 vistas en 4 horas,,,,más de 8000 vistas por hora, un capo, que siga creciendo.💪💪💪👏👏👏",UgzSHP6F3Zgya2J95nx4AaABAg,True,0,2024-10-11T05:39:53Z,2024-10-11T05:39:53Z
@deancorso4382,http://www.youtube.com/@deancorso4382,UCDyRAEb1UuV2we0MFWsi-0A,{'value': 'UCDyRAEb1UuV2we0MFWsi-0A'},RPcwUunWqhs,Igual muy buena onda la periodista.,UgwGETViAgwrYUkVH1J4AaABAg,True,1,2024-10-11T05:32:16Z,2024-10-11T05:32:16Z
@josem.p.8439,http://www.youtube.com/@josem.p.8439,UCIHOI47Apqzq3YV_5eXpawA,{'value': 'UCIHOI47Apqzq3YV_5eXpawA'},RPcwUunWqhs,"MARIANO ERES UN DESASTRE !!......PONES UNOS TITULOS DEL PUTO CARAJO ......LA MINA ?????.... FUE RE BUENA ONDA !!!!!!<br>ES MAS, LA MILF CON ESOS OJOS HERMOSOS, 30 KILOS MENOS Y CON SU PELO CASTAÑO NATURAL???  LE PIDO MATRIMONIO ...QUE MINA LINDA ES ...O FUE ...QUE DIABLOS !!! <br>CRACCCKKKK MARIAN",UgwWXkkAN_bYm62SjFN4AaABAg,True,0,2024-10-11T05:19:57Z,2024-10-11T05:19:57Z
@LanoGod,http://www.youtube.com/@LanoGod,UCCxWqEn1EiJgGWcaMsNiqnA,{'value': 'UCCxWqEn1EiJgGWcaMsNiqnA'},RPcwUunWqhs,Te la garchaste después?,UgxdgNdiNJ-aNmGJKdZ4AaABAg,True,0,2024-10-11T05:17:52Z,2024-10-11T05:17:52Z
@erievianel,http://www.youtube.com/@erievianel,UCF2P08yZQmlHDXFhSPO8c0g,{'value': 'UCF2P08yZQmlHDXFhSPO8c0g'},RPcwUunWqhs,"BUE... PERO SI TE TRATO RE BIEN, PORQUE PONES ESE TITULO?",UgwocYHBFKJBtm-8Vnl4AaABAg,True,0,2024-10-11T05:17:49Z,2024-10-11T05:17:49Z
@juanpablogarces181,http://www.youtube.com/@juanpablogarces181,UCrHrXMqTCgzO3GAhkF8K7fg,{'value': 'UCrHrXMqTCgzO3GAhkF8K7fg'},RPcwUunWqhs,Grande Mariano!!!!!!el éxito no es casualidad es un arduo camino de trabajo y lo demostras campeón.,Ugxin6bjRKuGvYO1JfR4AaABAg,True,1,2024-10-11T05:11:30Z,2024-10-11T05:11:30Z
