textDisplay,likeCount,authorDisplayName,authorChannelUrl,authorChannelId,publishedAt,updatedAt
"RodjaXP, wanna collab it was really good",0,@IOSARBX,http://www.youtube.com/@IOSARBX,UCZ8ZzfbxzPHYJfx2SCWB3Fw,2024-09-01T00:06:20Z,2024-09-01T00:06:20Z
So much better recorded than live,0,@philswaim392,http://www.youtube.com/@philswaim392,UCcJUkZxUyAXOAHmwxg6v_rw,2024-06-27T02:46:11Z,2024-06-27T02:46:11Z
"es increible como estoy en modo no me voy a reir y mas que una risa es una sonrisa de satisfaccion, increible el shitpost bien pensado, bien hecho",0,@Zincelotto,http://www.youtube.com/@Zincelotto,UCC2hXpvbulOPU4FPUdAuhWA,2024-04-18T17:31:08Z,2024-04-18T17:31:08Z
"First second of video, in 2024 = Very cancelled.",1,@GSXGSI,http://www.youtube.com/@GSXGSI,UCyLtgRpm_ZXvh204gHKEs2Q,2024-01-20T20:01:32Z,2024-01-20T20:01:32Z
"Nunca lo había visto, así rollo teatro. Son la crema 😅",2,@franciscojosecarrillo1141,http://www.youtube.com/@franciscojosecarrillo1141,UC-rrtE30JYBGrjEgjW7gyKw,2023-12-03T21:06:02Z,2023-12-03T21:06:02Z
"Se ve al ángel volador preparándose para salir a escena <a href=""https://www.youtube.com/watch?v=d0C1tDqH8VM&amp;t=122"">02:02</a> jajaja",1,@federicovicente8116,http://www.youtube.com/@federicovicente8116,UCjSN6AM8AKtyt8y0kHYXa7g,2023-11-27T21:24:08Z,2023-11-27T21:24:22Z
Son la definición de humor inglés,1,@aldoastorga2524,http://www.youtube.com/@aldoastorga2524,UCJKNtYqGHK_7GxyBals8n-Q,2023-11-10T11:25:59Z,2023-11-10T11:25:59Z
Esto es de genios. Eran unos verdaderos genios 😮😂😂😂,1,@shismarg,http://www.youtube.com/@shismarg,UC53uCGuzaSci4IZW1bVHNHA,2023-08-09T23:04:06Z,2023-08-09T23:04:06Z
Xd Twitter é Internet en general,1,@pingushark7731,http://www.youtube.com/@pingushark7731,UCjarW_1D6yHzRr2Gd-LJPZQ,2023-07-31T02:45:02Z,2023-07-31T02:45:02Z
Esto me recuerda a la administración y funcionarios cuando fui a para a una comunidad de tercera😂😂😂😂🇪🇸,0,@laurae7594,http://www.youtube.com/@laurae7594,UCFPTMDSdqia_Sy_jowp3ytw,2023-07-30T23:03:46Z,2023-07-30T23:03:46Z
Sanchez vs Feijoo 2023,1,@SrNutritivo,http://www.youtube.com/@SrNutritivo,UCT3PC17IEsRH9KFDLmJLBmA,2023-07-13T15:16:41Z,2023-07-13T15:16:41Z
Genios!! Ya no los hacen así.,1,@brutusmaximusbajus,http://www.youtube.com/@brutusmaximusbajus,UC6FiKWg0igRC7KspvJ1UY_Q,2023-06-21T09:47:17Z,2023-06-21T09:47:17Z
La reaccion de John Cleese es lo mas estaba pasadisimo de merca,0,@thiagonicolasalmada3877,http://www.youtube.com/@thiagonicolasalmada3877,UCtxo-WX1Q9GMnSwt2soJw6g,2023-06-11T22:51:53Z,2023-06-11T22:51:53Z
Buenísimo 👏 😂,1,@alvaroprietotorres4508,http://www.youtube.com/@alvaroprietotorres4508,UCnLOep0W_nmX_MQEy7aiYjg,2023-05-18T10:35:00Z,2023-05-18T10:35:00Z
"Si lo que quiere es discutir, sin motivo aparente, por qué no se casa y ya?",0,@celiadossantosh,http://www.youtube.com/@celiadossantosh,UC5HLQ52j0kGxDFaWZT1cbjw,2022-05-31T00:08:25Z,2022-05-31T00:12:39Z
"no se puede llegar más alto, qué grandes Monty Python",4,@karranz,http://www.youtube.com/@karranz,UCJB75CfzlLDl-6cUBjtM3GA,2022-05-20T21:46:48Z,2022-05-20T21:46:48Z
My God this is so funny 🤣...no it is&#39;nt,0,@cesaralegria223,http://www.youtube.com/@cesaralegria223,UCLlMwEyD7meNCq7npQURiYQ,2022-05-04T21:41:01Z,2022-05-04T21:41:01Z
"Soy yo, o le toco el timbre a la recepcionista. Literalmente. JAJAJAJAJAJAJ",5,@blackfist3517,http://www.youtube.com/@blackfist3517,UCJRETvj9pujwLGZAW6_sOLQ,2022-01-14T17:44:48Z,2022-01-14T17:44:48Z
una meta discusión xd,0,@xc000xc,http://www.youtube.com/@xc000xc,UCjdHVA_tdiONWETu1XHOE2g,2022-01-02T20:05:08Z,2022-01-02T20:05:08Z
"Como programador, es admirable como estos sujetos le dieron un nombre a un famoso lenguaje de programación actual 😅😆...<br><br>Quien diría.",21,@dec13666,http://www.youtube.com/@dec13666,UCnrdL6SiCIM-K_TETJt05GA,2021-12-19T15:49:18Z,2021-12-19T15:49:18Z
Este comediante predijo las redes sociales en la Gran Bretaña de los años 70 :v,4,@LeonidasArg2021,http://www.youtube.com/@LeonidasArg2021,UC04XXq-EGMqhv998Rhvx0Iw,2021-10-30T23:22:58Z,2021-10-30T23:22:58Z
Estanos ante la precencia de un Momento Twitter,3,@edwinmonge9155,http://www.youtube.com/@edwinmonge9155,UCyA6PF7sv3Qz0yFPOej0Xgg,2021-09-19T22:33:07Z,2021-09-19T22:33:07Z
¿Quién quiere iniciar una discusión?,1,@DavidPerez-rb8hj,http://www.youtube.com/@DavidPerez-rb8hj,UCfrdFIv6bpGGpNA7IvjegVA,2021-08-22T00:35:22Z,2021-08-22T00:35:22Z
los lunes son los mejores días,0,@makocaballerohijodelbanqui6435,http://www.youtube.com/@makocaballerohijodelbanqui6435,UCNpl9511K7WIjQAVYuJTwwA,2021-08-18T03:51:18Z,2021-08-18T03:51:18Z
"<a href=""https://www.youtube.com/watch?v=d0C1tDqH8VM&amp;t=2"">0:02</a> asi la saludo a tu hermana",2,@henryMoonmusic,http://www.youtube.com/@henryMoonmusic,UCKxo7Ad1S26OgJ2XcOrHu_A,2021-06-18T01:12:19Z,2021-06-18T01:12:19Z
Me recuerda a &quot;Esperando a Godot&quot;,6,@DLTNRDG,http://www.youtube.com/@DLTNRDG,UCmt0tihJsINhmkdZoZmS9ow,2021-01-17T16:53:05Z,2021-01-17T16:53:05Z
Básicamente esto fue el debate entre Trump y Biden este año.,3,@miguelangelriccione4950,http://www.youtube.com/@miguelangelriccione4950,UCwoE-VdPbNV8YdVuRfs3zHw,2020-11-17T03:06:04Z,2020-11-17T03:06:04Z
😂😂😂😂😂😂😂😂😂😂😂😂,0,@andreagarcia-dh1ky,http://www.youtube.com/@andreagarcia-dh1ky,UC8oVdpAxkPsZL_V0WPBRrlg,2020-11-17T00:29:59Z,2020-11-17T00:29:59Z
grande profe Devanir,0,@Vincent_Pilsen,http://www.youtube.com/@Vincent_Pilsen,UC0vvGqZoxdrSllNHXHXv2VQ,2020-08-14T16:27:14Z,2020-08-14T16:27:14Z
Esto es HERMOSO,0,@Manu-pc9bk,http://www.youtube.com/@Manu-pc9bk,UCKmITP8wR4Zhjf5a71m3MJw,2020-07-28T22:17:19Z,2020-07-28T22:17:19Z
"Estos varones y personas usan el pecado como entretenimiento y diversión, el mundo esta en maldición necesitamos arrepentirnos de nuestro pecado y hacer justicia, mi si recordar, verdad, y creer en el Señor Jesucristo, ÉL ha muerto por nuestro pecado en una cruz, y Dios le ha resucitado de entre los muertos, para darnos esperanza y vida eterna en su Hijo, Dios te ama en Jesucristo.",0,@pablograciasanchez1251,http://www.youtube.com/@pablograciasanchez1251,UCEq8n4wa9pdG_oT05nDSJ-Q,2020-06-15T11:24:08Z,2020-06-15T11:24:08Z
Se adelantaron a las redes sociales de internet.,0,@lalosanto1836,http://www.youtube.com/@lalosanto1836,UCUETUB1xCaeL_0BlnE2RopQ,2020-05-22T14:47:09Z,2020-05-22T14:47:09Z
Asi debería ser en las redes sociales. Para discutir hay que pagar.,2,@Chechu65,http://www.youtube.com/@Chechu65,UCrpmQ391x6yr8ukJi8mO1lQ,2020-05-07T14:57:31Z,2020-05-07T14:57:31Z
Vengo después de programar en Python.,2,@luizaksnes.8374,http://www.youtube.com/@luizaksnes.8374,UCbeeVBfULD9VXnN4-OwJpow,2020-04-26T13:52:27Z,2020-04-26T13:52:27Z
Tan difícil es hacer este humor sano hoy en día?,0,@tenerclientes5158,http://www.youtube.com/@tenerclientes5158,UCy85NN6yry56udlMUXnwSpg,2019-09-17T04:57:45Z,2019-09-17T04:57:45Z
"Discutir es algo muy parecido aló q dijo el de bigotes adoptar una posición contraria ala dela otra persona aportando argumentos  para sosténer su posición,la discusión se irá tornando a favor de uno u otro en vista de quien tenga mejores argumentos",0,@ArielContetito28arg,http://www.youtube.com/@ArielContetito28arg,UCbnALrJREbD7fwF0aWU9o4w,2019-06-13T11:14:22Z,2019-06-13T11:14:22Z
"If I were to make a video about the psychology of what is funny I do wonder if someone would watch it, as a sketch. I&#39;ve written so many, but I wonder what is it about the fear of been embarrassed. You have an accent it&#39;ll be funny that&#39;s what they say, who knows.",1,@stifukcleiton1353,http://www.youtube.com/@stifukcleiton1353,UCHdihv0-x1TMnnoA3CcikKw,2019-03-18T04:18:33Z,2019-03-18T04:18:33Z
"una joya, son maestros!",0,@lupinlupantercero5344,http://www.youtube.com/@lupinlupantercero5344,UC3q1FZuunxpzJn1x_7BOF-Q,2019-02-16T16:58:09Z,2019-02-16T16:58:09Z
