textDisplay,likeCount,authorDisplayName,authorChannelUrl,authorChannelId,publishedAt,updatedAt
Chile sola no hubiera podido solo;  con la ayuda interesada de Inglaterra por el salitre y las riquezas peruanas lograron el objetivo pero gracias a Dios el Perú es una tierra tan bendecida con muchas riquezas que si no se mete el comunismo destructor vamos para potencia.,0,@nicanormontero2640,http://www.youtube.com/@nicanormontero2640,UCVJVFpDmUuEQ5XU_bqAZL8w,2024-10-11T02:08:27Z,2024-10-11T02:08:27Z
"Gratamente sorprendido por tremenda entrevista, felicitaciones a doña Carmen y también a Gianfranco",1,@sergiofigueroa6032,http://www.youtube.com/@sergiofigueroa6032,UCD66qvumBiPw7AHSyrasgHA,2024-10-10T23:57:16Z,2024-10-10T23:57:16Z
"Cuando Chile ve la ocasión, se olvida de la solidaridad americana, de la hermandad y respeto, por eso es necesario que el Perú siempre esté alerta ante esta permanente amenaza hacia un Perú que es el ingenuo del barrio.",0,@JuanConstantinoVásquezSalcedo,http://www.youtube.com/@JuanConstantinoV%C3%A1squezSalcedo,UCfyR6KnMz2dY9bYgA-R_WLw,2024-10-10T11:12:09Z,2024-10-10T11:12:09Z
"Que manera tan trivial de ver la historia. La güerra del pacifico . Es tanto como decir que Israel no está preparado contra el mundo árabe. Pobrecitos  los <a href=""http://obligaron.es/"">obligaron.Es</a> decir la guerra Perú la provocó porque estaba preparado y obligó a Chile a invadirnos. Que graciosos. Estamos dolidos por la perdida de  de. Una pedazo de Perú. No. Maldita sea se perdieron muchas vidas indios negros blancos mestizos y acabo con todo una generación de peruanos. No preparados. Ellos si. El lenguaje actual de los chilenos es han perdido el dominio del pacifico. Tienen algún tipo de documento que lo sustente. Idiotas. Lean a los mismos.chilenos lo que sucedió estúpidos.",0,@hugodelacruz2953,http://www.youtube.com/@hugodelacruz2953,UCFmtY2vvkriS8iFa68YYiYA,2024-10-10T04:15:39Z,2024-10-10T04:15:39Z
"La guerra nunca fue entre pueblos chilenos peruanos, la guerra fue por pequeños grupos económicos que hicieron ir a matarse entre jóvenes y sus familiares que nunca ganaron nada hasta el día de hoy",0,@palrasss,http://www.youtube.com/@palrasss,UCW8rCDZlUpWwIt2w6uqP5MQ,2024-10-09T10:40:53Z,2024-10-09T10:41:13Z
Bla bla bla  esta señora se pasó.,0,@goyaricardo2663,http://www.youtube.com/@goyaricardo2663,UCEQIZ2MIB4RM_hfp-6ZGQtA,2024-10-08T22:19:06Z,2024-10-08T22:19:06Z
"Sra . Carmen !!!.  Cuanto trabajo , para finalmente convertirse , en una gràn profesiònal de la Historia !!❤🤗",1,@jimt857,http://www.youtube.com/@jimt857,UCkQ7fo9zy-MOYKi6g0igssQ,2024-10-08T18:41:29Z,2024-10-08T18:41:29Z
"Los mapuche (llamados Araucanos por los españoles) son una nación (en el sentido antropológico) que resistió a los españoles con éxito, finalmente, la conquista decanta en una serie de acuerdos que los chilenos no respetaron en lo absoluto. Los mapuche siempre creyeron que la República naciente de Chile no respetaría los tratados y acuerdos preexistentes con la corona. La posterior &quot;pacificación de la Araucanía&quot;, título histórico para la avanzada de matanzas, violaciones y exterminio de los mapuche le dan la razón a la desconfianza y sin duda establece una forma de relacionarse por los siglos.",0,@sebastiandiaz1528,http://www.youtube.com/@sebastiandiaz1528,UCHdLjaC3nKNrpghOP9crPfg,2024-10-08T15:04:43Z,2024-10-08T15:04:43Z
Muy amena e interesante entrevista.,0,@robertourrutiaalbujar238,http://www.youtube.com/@robertourrutiaalbujar238,UCOWs3MoXFD8z4DBtIrs226A,2024-10-08T07:26:42Z,2024-10-08T07:26:42Z
"con lo q dice refuerza la idea que el gran empresariado anglo le ayudó con pertrechos embarcaciones modernas, obviamente que luego chile debería en el futuro de pagar con salitre de territorios arrebatados a Bolivia y Perú,, pero cual guerra justa si eran violadores, alcohólicos , jajaja  q estupideces pueden aceptar estos historiadores, jajaja la crisis del guano solo es porque bajo su precio y su compra porque Europa descubre fertilizante sintético... aquí los únicos responsables vendepatrias fueron oligarcas peruano chilenos y empresas  inglesas...les valió la matanza de cientos de miles incluso adolescentes y niños...y eso lo acallan y no lo denuncian o lo analizan,,,",0,@RalphMaquio-r1p,http://www.youtube.com/@RalphMaquio-r1p,UC2C5h277jKibIfsY-uSbjJA,2024-10-07T00:10:15Z,2024-10-07T00:23:25Z
"Las guerras son provocadas por el poder económico y no por el pueblo. Son los medios informativos que involucran a los ciudadanos de a pie con el patriotismo barato que lamentablemente se la creen y por ignorancia seguimos el juego. Es hora de entender que entre los pueblos no debe existir rencor ni odio, que son azuzados cada cierto tiempo, por los miserables empresarios.",0,@reynaldogarcia9691,http://www.youtube.com/@reynaldogarcia9691,UCayHCnlMe9nSzg1RMbBmU2w,2024-10-06T22:48:26Z,2024-10-06T22:48:26Z
Los peruanos fantasean mucho con los Chilenos,0,@cesarpescetto433,http://www.youtube.com/@cesarpescetto433,UC74pr3HFbXUiCj4Ur4XjBHw,2024-10-06T11:51:16Z,2024-10-06T11:51:16Z
Que admiración por usted sra Carmen sabe mucho de nuestro país chile...  recuerdo en los colegios en los años 90 .se viralizaba por así decirlo en ese entonces la guerra del pacifico .nuestra hazaña contra 2 países.. Hoy esto es pasado acá no se habla de eso..tampoco hay rencor hacia los peruanos ..,0,@gonzalocorrea3133,http://www.youtube.com/@gonzalocorrea3133,UCMg1IF0Y_xFdlp8uohfMVNQ,2024-10-05T12:14:45Z,2024-10-05T12:14:45Z
Es  un lujo escuchar a esta gran historiadora Carmen McEvoy!!!!!!,1,@teresasoto70,http://www.youtube.com/@teresasoto70,UC-hGwCSrHMc2-UuJCLy5Xhg,2024-10-05T12:02:41Z,2024-10-05T12:02:41Z
"CHILE fue un hermano LEAL del Peru, miles de chilenos entregaron sus vidas por el Peru, Chile libero al Peru de los españoles en 1821, no fue gratis, mas de 800 chilenos perdieron la vida y dos mil mas regresaron heridos, en batallas interminables contra el ejercito del virrey en el alto peru, Chile los libero de Santa Cruz en 1855, tampoco fue gratis los muertos chilenos mas de 600 muertos y mas de  mil heridos y amputados, Chile los libero de los españoles en 1866, donde chile perdio 4 buques, 300 muertos y mil heridos en el bombardeo de Valparaiso por la escuadra española, CHILE firmo 3 tratados de paz con Bolivia buscando que no exista guerra, BOLIVIA VIOLO TODOS, pero despues CHILE descubre la traicion del Peru en el tratado secreto contra chile en 1874,  Chile los descubre y viene la guerra y la enemistad, y la desconfianza se instala para siempre, NO EXISTE EN LATINOAMERICA un Pais que haya APOYADO y DADO TANTA SANGRE POR  OTRO y AUN ASI le claven el puñal por la espalda, depende ahora del Peru reconocer sus errores historicos y reparar la hermandad",0,@pedromansilla3055,http://www.youtube.com/@pedromansilla3055,UCgTXiC3hOzzjE3VCKAu2Icw,2024-10-05T00:56:27Z,2024-10-05T00:56:27Z
