authorDisplayName,authorChannelUrl,authorChannelId,channelId,videoId,textDisplay,parentId,canRate,likeCount,publishedAt,updatedAt
@CodigoMaquina,http://www.youtube.com/@CodigoMaquina,UCeyAuzke3347naesZQXi2zQ,{'value': 'UCeyAuzke3347naesZQXi2zQ'},pSiPhHBw9yo,"👉 Xiperia ofrece consultoría empresarial que transforma datos en conocimiento accionable para alcanzar los objetivos de tu negocio. Conoce más en <a href=""https://www.xiperia.com/"">https://www.xiperia.com</a>",UgygdmrKmt4Mu1KqSWB4AaABAg,True,4,2023-04-10T19:00:57Z,2024-09-19T21:49:40Z
@chrisdob1980,http://www.youtube.com/@chrisdob1980,UC7T02OFebSM2V8eBqmbTEMQ,{'value': 'UC7T02OFebSM2V8eBqmbTEMQ'},pSiPhHBw9yo,buenas las explicaciones,UgyIiUNZz6JLX1wXFh54AaABAg,True,1,2024-09-02T22:22:11Z,2024-09-02T22:22:11Z
@chrisdob1980,http://www.youtube.com/@chrisdob1980,UC7T02OFebSM2V8eBqmbTEMQ,{'value': 'UC7T02OFebSM2V8eBqmbTEMQ'},pSiPhHBw9yo,tengo un problema voy a scripts y escribo activate... me sale error,Ugxzok29l-h6wxTpDkF4AaABAg,True,0,2024-09-02T22:21:48Z,2024-09-02T22:21:48Z
@2002barragan,http://www.youtube.com/@2002barragan,UCa57TdbpTMiaC2FazM1-Olg,{'value': 'UCa57TdbpTMiaC2FazM1-Olg'},pSiPhHBw9yo,Recién terminé una certificación de Linux lo cuál me llevó a conocer nuevas herramientas para trabajar Ciencia de Datos y me encontré con esto de los ambientes virtuales. Me agrada que alguien lo explique con mucha claridad realmente lo que es porque en Youtube casi todo lo que encuentra uno son tutoriales de instalación,UgxFCmB3Opu_mz6Vvr94AaABAg,True,0,2024-08-22T04:35:28Z,2024-08-22T04:35:28Z
@domingo269hotmailcom,http://www.youtube.com/@domingo269hotmailcom,UCy6B-yAbL0OLPxmc6jkdGrw,{'value': 'UCy6B-yAbL0OLPxmc6jkdGrw'},pSiPhHBw9yo,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/finger-red-number-one""></a>",UgwM0za1jqRjeCmIDLl4AaABAg,True,1,2024-08-17T17:30:31Z,2024-08-17T17:30:31Z
@EducacionCultura1992,http://www.youtube.com/@EducacionCultura1992,UCPJ0lBLx9r0FK7eUrtYUGdw,{'value': 'UCPJ0lBLx9r0FK7eUrtYUGdw'},pSiPhHBw9yo,gracias profe,Ugwl-_k6de9OP-j_8Ux4AaABAg,True,1,2024-06-25T00:45:03Z,2024-06-25T00:45:03Z
@neiser333,http://www.youtube.com/@neiser333,UCy1c8Dm0Cu8pF8HROOEkRww,{'value': 'UCy1c8Dm0Cu8pF8HROOEkRww'},pSiPhHBw9yo,"Gracias por la explicación tan detallada a la vez que sencilla <a href=""UCkszU2WH9gy1mb0dV-11UJg/Iv90XouTLuOR8gSxxrToBA""></a>",UgxfZabiTaYJMRPDpRh4AaABAg,True,0,2024-04-01T08:26:48Z,2024-04-01T08:26:48Z
@nazlygonzalez,http://www.youtube.com/@nazlygonzalez,UCrciLcdvSKmKWP3n0_kRRLw,{'value': 'UCrciLcdvSKmKWP3n0_kRRLw'},pSiPhHBw9yo,feliz de encontrarte !!!!,UgxCOINCHEyv0htiI4Z4AaABAg,True,0,2024-03-14T16:31:48Z,2024-03-14T16:31:48Z
@guambratv,http://www.youtube.com/@guambratv,UCBgdCJ0W0KbmxQexfBUI_vQ,{'value': 'UCBgdCJ0W0KbmxQexfBUI_vQ'},pSiPhHBw9yo,Gracias por la información,UgxYMH6hJMQZQ60pBO14AaABAg,True,0,2024-03-05T01:44:46Z,2024-03-05T01:44:46Z
@JuanMunoz-we1ep,http://www.youtube.com/@JuanMunoz-we1ep,UClb6CTVtbhH6WiHL5Zh6Dgw,{'value': 'UClb6CTVtbhH6WiHL5Zh6Dgw'},pSiPhHBw9yo,"Estimado Octavio, yo instalé Anaconda en mi Usuario &quot;Juan Luis&quot;, cosa que no se recomienda que tenga espacio porque puede que no funcione bien Anaconda, pero no lo sabía.<br>¿Se puede renombrar el usuario, para quitar el espacio? ¿provoco algún problema si lo modifico? ¿puedo eliminar el entorno virtual &quot;base&quot;?¿como se puede eliminar si existiese la factibilidad?. Estaré atento a vuestra respuesta.",UgyA8IkenXrtnqStccx4AaABAg,True,0,2024-02-18T23:45:43Z,2024-02-18T23:45:43Z
