textDisplay,likeCount,authorDisplayName,authorChannelUrl,authorChannelId,publishedAt,updatedAt
Coruptores,0,@fernandohuamanbernuy6233,http://www.youtube.com/@fernandohuamanbernuy6233,UCEMxl_hPnwZ9pzke5lAkQ9w,2024-10-11T04:05:19Z,2024-10-11T04:05:19Z
Buda? Compatando a Cristo??? Lo que sea? Se me cayó...entiendo su puntonde ignorancia en otros ambitos muy esenciales,0,@pablitoprado2990,http://www.youtube.com/@pablitoprado2990,UCXrgzhSNjO_oOAUiPvMNk0Q,2024-10-10T23:52:22Z,2024-10-10T23:52:22Z
"Cuando a mí me preguntan sobre una dirección, y no se, si digo no se... Ahí estás generalizando y no es así...",0,@EusebioQuispeHuaman-uv7vx,http://www.youtube.com/@EusebioQuispeHuaman-uv7vx,UCvgQ1gHR6KkJnktWbeIB5iA,2024-10-10T19:53:53Z,2024-10-10T19:53:53Z
blanco. Asu,0,@luisbazan700,http://www.youtube.com/@luisbazan700,UCuKejIKZUjXpNa4KtlaOufQ,2024-10-10T17:00:44Z,2024-10-10T17:00:44Z
"La culpa de la Corrupcion la tuvo el Cholo Toledo, no liquido caliente caliente al sistema fuji, que se hicieron millonarios durante la dictadura de Albertico y Vladimiro y los compradores de las empresas vendio el dictador a precio de huevo roto y que aun le tiene acciones guardachas a palabra de bandidos, tal es asi que que esos choro empresarios les dan a los fujis plata para vivir y postular, La Pregunta, por que no juzgan a esos reos libres despues de mas 10  años incluyendo a los banqueros, en especial a Romero.Estan esperando la prescripcion, no karamandajo.",0,@edgarsiles108,http://www.youtube.com/@edgarsiles108,UCOc_x12UJGjDvZbkAXRBISA,2024-10-10T10:39:28Z,2024-10-10T10:39:28Z
&quot;Yo vengo del fango...&quot; palabras de redención total,0,@haroldmarincoach8082,http://www.youtube.com/@haroldmarincoach8082,UCItVOdm4Vq4E6z6SHyOFbSw,2024-10-10T04:20:09Z,2024-10-10T04:20:09Z
"que gran contenido, verdades crudas y anécdotas, a seguir cambiando el siestema.",0,@PAULAARAUJOandy,http://www.youtube.com/@PAULAARAUJOandy,UCrW16QuktL41CfES8dPSA7A,2024-10-09T14:29:07Z,2024-10-09T14:29:07Z
La corruption en peru .ese acaba cuando los cerritos tengan .Pena de 40 Anos . Puerta la rata se acaba la peste,0,@marcosbazo111,http://www.youtube.com/@marcosbazo111,UCzJn40OMkP2yvNHYxM_R31A,2024-10-09T01:43:12Z,2024-10-09T01:43:12Z
"Las autoridades provienen de la sociedad. Necesariamente reflejarán las virtudes o inmundicias de dicha sociedad. La otra cosa es que mucha de la actitud criticona procede de la infestada y excrementicia televisión que se centra en farándula. Así es como los más de 30 millones se entrenan en el vicio de juzgar a otros. Algo más: no basta ser sincero, la imbecilidad mata la sinceridad. Añado otra idea: las universidades no forman gente con principios y por lo visto las familias cada vez son más incapaces de cumplir esta misión. ¿De dónde, pues, van a salir ciudadanos probos y de integridad moral? La última elucubración: es posible cambiar y salir del desagüe para intentar una vida digna. Esto último es alentador.",0,@agrarialameta4864,http://www.youtube.com/@agrarialameta4864,UChBxRp3aDbj3wDSaZV_AhBw,2024-10-08T18:37:46Z,2024-10-08T19:16:26Z
Este es el hijo de putin 😅   2019,0,@didierchavezmedina8711,http://www.youtube.com/@didierchavezmedina8711,UCE-MnL29yC9rvBoHY1A4YBg,2024-10-08T14:14:58Z,2024-10-08T14:14:58Z
